Timestamp,Symbol,Open Price,Close Price,High Price,Low Price,Volume,Number of Trades,Quote Asset Volume
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.7,3210.29,3209.68,238.9767,275.0,767127.511487
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.63,685.63,685.62,1.059,13.0,726.07994
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101969.97,101969.98,101962.14,0.55831,213.0,56927.3524755
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.7,3210.29,3209.68,239.1761,284.0,767767.525472
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.59,685.63,685.58,2.601,33.0,1783.27335
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101969.98,101969.98,101962.14,0.56002,217.0,57101.7211413
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.7,3210.29,3209.68,242.3446,288.0,777937.454152
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.58,685.63,685.58,2.616,35.0,1793.55705
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101959.2,101969.98,101959.2,1.15356,464.0,117621.4687303
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.06,3210.29,3209.06,245.0301,383.0,786556.238863
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.58,685.63,685.58,3.043,45.0,2086.30048
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101958.46,101969.98,101958.45,1.15663,474.0,117934.4811973
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.06,3210.29,3209.05,245.2513,389.0,787266.081392
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.59,685.63,685.58,4.801,52.0,3291.56761
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101958.45,101969.98,101958.45,1.20183,487.0,122543.0034792
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.05,3210.29,3209.05,245.4177,394.0,787800.068131
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.59,685.63,685.58,5.19,57.0,3558.26057
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101958.46,101969.98,101958.45,1.22414,503.0,124817.6967016
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.05,3210.29,3209.05,245.6977,395.0,788698.602131
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.59,685.63,685.58,5.746,63.0,3939.44842
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101958.46,101969.98,101958.45,1.2382,508.0,126251.2326447
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.06,3210.29,3209.05,245.6992,396.0,788703.415721
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.58,685.63,685.58,6.136,66.0,4206.82462
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101956.81,101969.98,101956.8,1.8336,593.0,186957.2735291
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.85,3210.29,3208.85,257.5658,485.0,826783.19949
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.58,685.63,685.58,15.24,88.0,10448.40556
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101938.84,101969.98,101938.83,3.22095,875.0,328392.9281473
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.65,258.122,507.0,828567.96548
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.48,33.419,130.0,22910.85729
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101947.22,101969.98,101938.83,3.27082,985.0,333476.7613378
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.65,258.1484,511.0,828652.67384
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101947.22,101969.98,101938.83,3.42102,995.0,348789.2337484
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.65,258.1779,516.0,828747.329015
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.47,35.362,136.0,24242.72785
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101947.21,101969.98,101938.83,3.61217,1011.0,368276.4431163
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,258.6506,528.0,830264.054877
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.47,685.63,685.47,37.005,138.0,25368.97132
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101947.22,101969.98,101938.83,3.61837,1019.0,368908.5158369
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,259.0895,530.0,831672.327061
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.47,37.093,139.0,25429.29356
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101947.21,101969.98,101938.83,3.62857,1031.0,369948.3774178
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,260.2504,537.0,835397.24757
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.47,37.279,147.0,25556.79187
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101947.22,101969.98,101938.83,3.6368,1034.0,370787.4030356
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.64,3210.29,3208.64,260.6,543.0,836518.989165
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.47,37.707,150.0,25850.17731
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101934.77,101969.98,101934.77,3.83723,1144.0,391220.2889558
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,260.6272,545.0,836606.264445
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.47,685.63,685.47,38.283,152.0,26245.00803
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101934.78,101969.98,101934.77,3.8382,1145.0,391319.1656924
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.65,3210.29,3208.64,260.8512,547.0,837325.002045
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.48,685.63,685.47,39.861,156.0,27326.69525
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101934.77,101969.98,101934.77,5.67965,1187.0,579026.9480982
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3208.64,3210.29,3208.64,262.0474,557.0,841163.18738
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.47,685.63,685.47,40.138,160.0,27516.57189
